"Student","Course","Alternative","Enrolled","Primary","Priority","Alternativity"
""," C16","0","1","1","1","0"
""," C19","0","1","1","2","0"
""," C16","0","1","1","1","0"
""," C5","0","1","1","1","0"
""," C17","0","1","1","1","0"
""," C16","0","1","1","1","0"
""," C19","0","1","1","1","0"
""," C17","0","1","1","2","0"
""," C16","0","1","1","1","0"
""," C19","0","1","1","2","0"
""," C16","0","1","1","1","0"
""," C19","0","1","1","2","0"
""," C5","0","1","1","1","0"
""," C16","0","1","1","1","0"
""," C16","0","1","1","1","0"
""," C16","0","1","1","1","0"
""," C19","0","1","1","1","0"
""," C17","0","1","1","2","0"
""," C19","0","1","1","1","0"
""," C17","0","1","1","2","0"
""," C19","0","1","1","1","0"
""," C17","0","1","1","1","0"
""," C19","0","1","1","1","0"
""," C17","0","1","1","1","0"
""," C17","0","1","1","1","0"
""," C19","0","1","1","1","0"
""," C19","0","1","1","1","0"
""," C17","0","1","1","2","0"
""," C19","0","1","1","1","0"
""," C19","0","1","1","1","0"
""," C19","0","1","1","1","0"
""," C19","0","1","1","1","0"
""," C19","0","1","1","1","0"
""," C19","0","1","1","1","0"
""," C19","0","1","1","1","0"
""," C19","0","1","1","1","0"
""," C19","0","1","1","1","0"
""," C19","0","1","1","1","0"
""," C19","0","1","1","1","0"
""," C19","0","1","1","1","0"
""," C19","0","1","1","1","0"
""," C19","0","1","1","1","0"
""," C19","0","1","1","1","0"
""," C19","0","1","1","1","0"
""," C19","0","1","1","1","0"
""," C19","0","1","1","1","0"
""," C16","0","1","1","1","0"
""," C16","0","1","1","1","0"
""," C16","0","1","1","1","0"
""," C16","0","1","1","1","0"
""," C17","0","1","1","1","0"
""," C16","0","1","1","1","0"
""," C17","0","1","1","1","0"
""," C16","0","1","1","1","0"
""," C16","0","1","1","1","0"
""," C17","0","1","1","1","0"
""," C19","0","1","1","1","0"
""," C19","0","1","1","1","0"
""," C8","0","1","1","1","0"
""," C11","0","1","1","2","0"
""," C19","0","1","1","3","0"
""," C16","0","1","1","4","0"
