"__Student","Student","Course","Course Limit","Controlling Course","Primary","Priority","Alternativity","Enrolled","Credits","Sections","Preferred Sections","Required Sections","Instructional Method","Preferred Instructional Methods","Required Instructional Methods","Critical"
"209504449",""," C8","","","Yes","1","0","Yes","0.0","S21","","","","","","No"
"210553776",""," C12","","","Yes","1","0","Yes","0.0","S28","","","","","","No"
"212509192",""," C17","","","Yes","1","0","Yes","0.0","S38","","","","","","No"
"212509192",""," C2","","","Yes","2","0","Yes","0.0","S5","","","","","","No"
"212515649",""," C2","","","Yes","1","0","Yes","0.0","S5","","","","","","No"
"213510991",""," C17","","","Yes","1","0","Yes","0.0","S40","","","","","","No"
"213510991",""," C2","","","Yes","2","0","Yes","0.0","S5","","","","","","No"
"213510991",""," C14","","","Yes","3","0","Yes","0.0","S32","","","","","","No"
"213547354",""," C8","","","Yes","1","0","Yes","0.0","S20","","","","","","No"
"215002702",""," C5","","","Yes","1","0","Yes","0.0","S13","","","","","","No"
"215002702",""," C1","","","Yes","2","0","Yes","0.0","S1","","","","","","No"
"215002702",""," C14","","","Yes","3","0","Yes","0.0","S32","","","","","","No"
"215009112",""," C19","","","Yes","1","0","Yes","0.0","S42","","","","","","No"
"215014788",""," C12","","","Yes","1","0","Yes","0.0","S29","","","","","","No"
"215016162",""," C19","","","Yes","1","0","Yes","0.0","S43","","","","","","No"
"215028301",""," C17","","","Yes","1","0","Yes","0.0","S38","","","","","","No"
"215029071",""," C9","","","Yes","1","0","Yes","0.0","S22","","","","","","No"
"215033901",""," C19","","","Yes","1","0","Yes","0.0","S42","","","","","","No"
"215069139",""," C17","","","Yes","1","0","Yes","0.0","S38","","","","","","No"
"215069139",""," C19","","","Yes","2","0","Yes","0.0","S43","","","","","","No"
"215080246",""," C19","","","Yes","1","0","Yes","0.0","S43","","","","","","No"
"216003709",""," C8","","","Yes","1","0","Yes","0.0","S21","","","","","","No"
"216006478",""," C12","","","Yes","1","0","Yes","0.0","S30","","","","","","No"
"216007079",""," C16","","","Yes","1","0","Yes","0.0","S36","","","","","","No"
"216009174",""," C2","","","Yes","1","0","Yes","0.0","S5","","","","","","No"
"216010962",""," C19","","","Yes","1","0","Yes","0.0","S42","","","","","","No"
"216011832",""," C12","","","Yes","1","0","Yes","0.0","S30","","","","","","No"
"216011832",""," C19","","","Yes","2","0","Yes","0.0","S43","","","","","","No"
"216012415",""," C1","","","Yes","1","0","Yes","0.0","S1","","","","","","No"
"216012415",""," C19","","","Yes","2","0","Yes","0.0","S43","","","","","","No"
"216012713",""," C19","","","Yes","1","0","Yes","0.0","S43","","","","","","No"
"216021542",""," C13","","","Yes","1","0","Yes","0.0","S31","","","","","","No"
"216021874",""," C12","","","Yes","1","0","Yes","0.0","S28","","","","","","No"
"216023892",""," C8","","","Yes","1","0","Yes","0.0","S20","","","","","","No"
"216023892",""," C11","","","Yes","2","0","Yes","0.0","S26","","","","","","No"
"216024403",""," C19","","","Yes","1","0","Yes","0.0","S42","","","","","","No"
"216024791",""," C12","","","Yes","1","0","Yes","0.0","S29","","","","","","No"
"216025877",""," C12","","","Yes","1","0","Yes","0.0","S28","","","","","","No"
"216030314",""," C19","","","Yes","1","0","Yes","0.0","S43","","","","","","No"
"216032731",""," C19","","","Yes","1","0","Yes","0.0","S42","","","","","","No"
"216040177",""," C17","","","Yes","1","0","Yes","0.0","S37","","","","","","No"
"216040805",""," C8","","","Yes","1","0","Yes","0.0","S20","","","","","","No"
"216040805",""," C19","","","Yes","2","0","Yes","0.0","S43","","","","","","No"
"216042167",""," C12","","","Yes","1","0","Yes","0.0","S28","","","","","","No"
"216044188",""," C12","","","Yes","1","0","Yes","0.0","S29","","","","","","No"
"216044290",""," C19","","","Yes","1","0","Yes","0.0","S42","","","","","","No"
"216049509",""," C13","","","Yes","1","0","Yes","0.0","S31","","","","","","No"
"216049509",""," C19","","","Yes","2","0","Yes","0.0","S43","","","","","","No"
"216063189",""," C12","","","Yes","1","0","Yes","0.0","S30","","","","","","No"
"217001728",""," C19","","","Yes","1","0","Yes","0.0","S43","","","","","","No"
"217002685",""," C8","","","Yes","1","0","Yes","0.0","S21","","","","","","No"
"217002685",""," C19","","","Yes","2","0","Yes","0.0","S42","","","","","","No"
"217002820",""," C16","","","Yes","1","0","Yes","0.0","S36","","","","","","No"
"217003464",""," C17","","","Yes","1","0","Yes","0.0","S37","","","","","","No"
"217003855",""," C8","","","Yes","1","0","Yes","0.0","S21","","","","","","No"
"217004311",""," C19","","","Yes","1","0","Yes","0.0","S43","","","","","","No"
"217004760",""," C16","","","Yes","1","0","Yes","0.0","S36","","","","","","No"
"217005481",""," C19","","","Yes","1","0","Yes","0.0","S42","","","","","","No"
"217005524",""," C16","","","Yes","1","0","Yes","0.0","S36","","","","","","No"
"217005524",""," C11","","","Yes","2","0","Yes","0.0","S26","","","","","","No"
"217005921",""," C12","","","Yes","1","0","Yes","0.0","S28","","","","","","No"
"217006038",""," C16","","","Yes","1","0","Yes","0.0","S36","","","","","","No"
"217006044",""," C17","","","Yes","1","0","Yes","0.0","S40","","","","","","No"
"217006044",""," C2","","","Yes","2","0","Yes","0.0","S5","","","","","","No"
"217007017",""," C8","","","Yes","1","0","Yes","0.0","S20","","","","","","No"
"217007253",""," C5","","","Yes","1","0","Yes","0.0","S9","","","","","","No"
"217008024",""," C13","","","Yes","1","0","Yes","0.0","S31","","","","","","No"
"217008939",""," C1","","","Yes","1","0","Yes","0.0","S2","","","","","","No"
"217009446",""," C5","","","Yes","1","0","Yes","0.0","S11","","","","","","No"
"217009446",""," C14","","","Yes","2","0","Yes","0.0","S32","","","","","","No"
"217009590",""," C1","","","Yes","1","0","Yes","0.0","S3","","","","","","No"
"217009965",""," C16","","","Yes","1","0","Yes","0.0","S36","","","","","","No"
"217010350",""," C19","","","Yes","1","0","Yes","0.0","S43","","","","","","No"
"217010575",""," C17","","","Yes","1","0","Yes","0.0","S40","","","","","","No"
"217010645",""," C14","","","Yes","1","0","Yes","0.0","S34","","","","","","No"
"217010851",""," C19","","","Yes","1","0","Yes","0.0","S42","","","","","","No"
"217011165",""," C16","","","Yes","1","0","Yes","0.0","S36","","","","","","No"
"217012077",""," C8","","","Yes","1","0","Yes","0.0","S21","","","","","","No"
"217013326",""," C16","","","Yes","1","0","Yes","0.0","S36","","","","","","No"
"217013423",""," C12","","","Yes","1","0","Yes","0.0","S29","","","","","","No"
"217014084",""," C19","","","Yes","1","0","Yes","0.0","S43","","","","","","No"
"217014127",""," C8","","","Yes","1","0","Yes","0.0","S20","","","","","","No"
