"__Student","Student","Course","Course Limit","Controlling Course","Primary","Priority","Alternativity","Enrolled","Credits","Sections","Preferred Sections","Required Sections","Instructional Method","Preferred Instructional Methods","Required Instructional Methods","Critical"
"209504449",""," C9","","","Yes","1","0","Yes","0.0","S22","","","","","","No"
"210553776",""," C13","","","Yes","1","0","Yes","0.0","S31","","","","","","No"
"212509192",""," C18","","","Yes","1","0","Yes","0.0","S41","","","","","","No"
"212509192",""," C2","","","Yes","2","0","Yes","0.0","S5","","","","","","No"
"212515649",""," C2","","","Yes","1","0","Yes","0.0","S5","","","","","","No"
"213510991",""," C18","","","Yes","1","0","Yes","0.0","S38","","","","","","No"
"213510991",""," C2","","","Yes","2","0","Yes","0.0","S5","","","","","","No"
"213510991",""," C15","","","Yes","3","0","Yes","0.0","S34","","","","","","No"
"213547354",""," C9","","","Yes","1","0","Yes","0.0","S21","","","","","","No"
"215002702",""," C6","","","Yes","1","0","Yes","0.0","S9","","","","","","No"
"215002702",""," C1","","","Yes","2","0","Yes","0.0","S1","","","","","","No"
"215002702",""," C15","","","Yes","3","0","Yes","0.0","S33","","","","","","No"
"215009112",""," C20","","","Yes","1","0","Yes","0.0","S43","","","","","","No"
"215014788",""," C13","","","Yes","1","0","Yes","0.0","S29","","","","","","No"
"215016162",""," C20","","","Yes","1","0","Yes","0.0","S44","","","","","","No"
"215028301",""," C18","","","Yes","1","0","Yes","0.0","S41","","","","","","No"
"215029071",""," C10","","","Yes","1","0","Yes","0.0","S23","","","","","","No"
"215033901",""," C20","","","Yes","1","0","Yes","0.0","S43","","","","","","No"
"215069139",""," C18","","","Yes","1","0","Yes","0.0","S41","","","","","","No"
"215069139",""," C20","","","Yes","2","0","Yes","0.0","S43","","","","","","No"
"215080246",""," C20","","","Yes","1","0","Yes","0.0","S44","","","","","","No"
"216003709",""," C9","","","Yes","1","0","Yes","0.0","S22","","","","","","No"
"216006478",""," C13","","","Yes","1","0","Yes","0.0","S30","","","","","","No"
"216007079",""," C17","","","Yes","1","0","Yes","0.0","S37","","","","","","No"
"216009174",""," C2","","","Yes","1","0","Yes","0.0","S5","","","","","","No"
"216010962",""," C20","","","Yes","1","0","Yes","0.0","S44","","","","","","No"
"216011832",""," C13","","","Yes","1","0","Yes","0.0","S30","","","","","","No"
"216011832",""," C20","","","Yes","2","0","Yes","0.0","S44","","","","","","No"
"216012415",""," C1","","","Yes","1","0","Yes","0.0","S1","","","","","","No"
"216012415",""," C20","","","Yes","2","0","Yes","0.0","S44","","","","","","No"
"216012713",""," C20","","","Yes","1","0","Yes","0.0","S43","","","","","","No"
"216021542",""," C14","","","Yes","1","0","Yes","0.0","S32","","","","","","No"
"216021874",""," C13","","","Yes","1","0","Yes","0.0","S29","","","","","","No"
