"__Student","Student","Course","Course Limit","Controlling Course","Primary","Priority","Alternativity","Enrolled","Credits","Sections","Preferred Sections","Required Sections","Instructional Method","Preferred Instructional Methods","Required Instructional Methods","Critical"
"1",""," C5","","","Yes","1","0","Yes","0.0","S17","","","","","","No"
"2",""," C9","","","Yes","1","0","Yes","0.0","S27","","","","","","No"
"3",""," C10","","","Yes","1","0","Yes","0.0","S30","","","","","","No"
"5",""," C10","","","Yes","1","0","Yes","0.0","S31","","","","","","No"
"5",""," C8","","","Yes","2","0","Yes","0.0","S24","","","","","","No"
"6",""," C5","","","Yes","1","0","Yes","0.0","S18","","","","","","No"
"7",""," C2","","","Yes","1","0","Yes","0.0","S5","","","","","","No"
"7",""," C1","","","Yes","2","0","Yes","0.0","S1","","","","","","No"
"7",""," C8","","","Yes","3","0","Yes","0.0","S26","","","","","","No"
"8",""," C11","","","Yes","1","0","Yes","0.0","S34","","","","","","No"
"9",""," C9","","","Yes","1","0","Yes","0.0","S27","","","","","","No"
"10",""," C11","","","Yes","1","0","Yes","0.0","S35","","","","","","No"
"11",""," C10","","","Yes","1","0","Yes","0.0","S33","","","","","","No"
"13",""," C11","","","Yes","1","0","Yes","0.0","S35","","","","","","No"
"14",""," C10","","","Yes","1","0","Yes","0.0","S32","","","","","","No"
"14",""," C11","","","Yes","2","0","Yes","0.0","S34","","","","","","No"
"15",""," C11","","","Yes","1","0","Yes","0.0","S34","","","","","","No"
"16",""," C5","","","Yes","1","0","Yes","0.0","S18","","","","","","No"
"17",""," C9","","","Yes","1","0","Yes","0.0","S28","","","","","","No"
"20",""," C11","","","Yes","1","0","Yes","0.0","S34","","","","","","No"
"21",""," C9","","","Yes","1","0","Yes","0.0","S28","","","","","","No"
"21",""," C11","","","Yes","2","0","Yes","0.0","S35","","","","","","No"
"22",""," C1","","","Yes","1","0","Yes","0.0","S2","","","","","","No"
"22",""," C11","","","Yes","2","0","Yes","0.0","S35","","","","","","No"
"23",""," C11","","","Yes","1","0","Yes","0.0","S34","","","","","","No"
"25",""," C9","","","Yes","1","0","Yes","0.0","S29","","","","","","No"
"26",""," C5","","","Yes","1","0","Yes","0.0","S17","","","","","","No"
"26",""," C7","","","Yes","2","0","Yes","0.0","S22","","","","","","No"
"27",""," C11","","","Yes","1","0","Yes","0.0","S35","","","","","","No"
"28",""," C9","","","Yes","1","0","Yes","0.0","S27","","","","","","No"
"29",""," C9","","","Yes","1","0","Yes","0.0","S28","","","","","","No"
"30",""," C11","","","Yes","1","0","Yes","0.0","S35","","","","","","No"
"31",""," C11","","","Yes","1","0","Yes","0.0","S35","","","","","","No"
"32",""," C10","","","Yes","1","0","Yes","0.0","S33","","","","","","No"
"33",""," C5","","","Yes","1","0","Yes","0.0","S17","","","","","","No"
"33",""," C11","","","Yes","2","0","Yes","0.0","S35","","","","","","No"
"34",""," C9","","","Yes","1","0","Yes","0.0","S27","","","","","","No"
"35",""," C9","","","Yes","1","0","Yes","0.0","S27","","","","","","No"
"36",""," C11","","","Yes","1","0","Yes","0.0","S34","","","","","","No"
"37",""," C11","","","Yes","1","0","Yes","0.0","S35","","","","","","No"
"38",""," C9","","","Yes","1","0","Yes","0.0","S28","","","","","","No"
"39",""," C11","","","Yes","1","0","Yes","0.0","S34","","","","","","No"
"40",""," C5","","","Yes","1","0","Yes","0.0","S18","","","","","","No"
"40",""," C11","","","Yes","2","0","Yes","0.0","S34","","","","","","No"
"42",""," C10","","","Yes","1","0","Yes","0.0","S31","","","","","","No"
"43",""," C5","","","Yes","1","0","Yes","0.0","S17","","","","","","No"
"44",""," C11","","","Yes","1","0","Yes","0.0","S34","","","","","","No"
"46",""," C11","","","Yes","1","0","Yes","0.0","S34","","","","","","No"
"47",""," C7","","","Yes","1","0","Yes","0.0","S23","","","","","","No"
"48",""," C9","","","Yes","1","0","Yes","0.0","S29","","","","","","No"
"50",""," C10","","","Yes","1","0","Yes","0.0","S31","","","","","","No"
"51",""," C5","","","Yes","1","0","Yes","0.0","S18","","","","","","No"
"52",""," C2","","","Yes","1","0","Yes","0.0","S10","","","","","","No"
"54",""," C1","","","Yes","1","0","Yes","0.0","S4","","","","","","No"
"55",""," C2","","","Yes","1","0","Yes","0.0","S9","","","","","","No"
"55",""," C8","","","Yes","2","0","Yes","0.0","S26","","","","","","No"
"56",""," C1","","","Yes","1","0","Yes","0.0","S4","","","","","","No"
"58",""," C11","","","Yes","1","0","Yes","0.0","S35","","","","","","No"
"59",""," C10","","","Yes","1","0","Yes","0.0","S32","","","","","","No"
"60",""," C8","","","Yes","1","0","Yes","0.0","S24","","","","","","No"
"61",""," C11","","","Yes","1","0","Yes","0.0","S35","","","","","","No"
"63",""," C5","","","Yes","1","0","Yes","0.0","S17","","","","","","No"
"65",""," C9","","","Yes","1","0","Yes","0.0","S27","","","","","","No"
"66",""," C11","","","Yes","1","0","Yes","0.0","S35","","","","","","No"
"67",""," C5","","","Yes","1","0","Yes","0.0","S18","","","","","","No"
"67",""," C11","","","Yes","2","0","Yes","0.0","S35","","","","","","No"
"69",""," C11","","","Yes","1","0","Yes","0.0","S35","","","","","","No"
"70",""," C6","","","Yes","1","0","Yes","0.0","S21","","","","","","No"
"71",""," C10","","","Yes","1","0","Yes","0.0","S32","","","","","","No"
"72",""," C7","","","Yes","1","0","Yes","0.0","S22","","","","","","No"
"72",""," C11","","","Yes","2","0","Yes","0.0","S34","","","","","","No"
"73",""," C11","","","Yes","1","0","Yes","0.0","S34","","","","","","No"
"74",""," C9","","","Yes","1","0","Yes","0.0","S28","","","","","","No"
"75",""," C5","","","Yes","1","0","Yes","0.0","S17","","","","","","No"
"77",""," C1","","","Yes","1","0","Yes","0.0","S1","","","","","","No"
"80",""," C11","","","Yes","1","0","Yes","0.0","S35","","","","","","No"
"82",""," C10","","","Yes","1","0","Yes","0.0","S31","","","","","","No"
"83",""," C11","","","Yes","1","0","Yes","0.0","S34","","","","","","No"
"84",""," C5","","","Yes","1","0","Yes","0.0","S18","","","","","","No"
"84",""," C11","","","Yes","2","0","Yes","0.0","S35","","","","","","No"
"85",""," C5","","","Yes","1","0","Yes","0.0","S17","","","","","","No"
"89",""," C11","","","Yes","1","0","Yes","0.0","S34","","","","","","No"
"90",""," C10","","","Yes","1","0","Yes","0.0","S30","","","","","","No"
"90",""," C8","","","Yes","2","0","Yes","0.0","S25","","","","","","No"
"91",""," C9","","","Yes","1","0","Yes","0.0","S27","","","","","","No"
"93",""," C8","","","Yes","1","0","Yes","0.0","S26","","","","","","No"
"94",""," C11","","","Yes","1","0","Yes","0.0","S35","","","","","","No"
"95",""," C11","","","Yes","1","0","Yes","0.0","S34","","","","","","No"
"97",""," C11","","","Yes","1","0","Yes","0.0","S35","","","","","","No"
"100",""," C11","","","Yes","1","0","Yes","0.0","S34","","","","","","No"
"101",""," C5","","","Yes","1","0","Yes","0.0","S18","","","","","","No"
"103",""," C5","","","Yes","1","0","Yes","0.0","S17","","","","","","No"
"104",""," C11","","","Yes","1","0","Yes","0.0","S35","","","","","","No"
"106",""," C9","","","Yes","1","0","Yes","0.0","S27","","","","","","No"
"107",""," C2","","","Yes","1","0","Yes","0.0","S9","","","","","","No"
"109",""," C11","","","Yes","1","0","Yes","0.0","S34","","","","","","No"
"112",""," C5","","","Yes","1","0","Yes","0.0","S18","","","","","","No"
"113",""," C11","","","Yes","1","0","Yes","0.0","S35","","","","","","No"
"114",""," C10","","","Yes","1","0","Yes","0.0","S33","","","","","","No"
"116",""," C9","","","Yes","1","0","Yes","0.0","S28","","","","","","No"
"117",""," C11","","","Yes","1","0","Yes","0.0","S34","","","","","","No"
"119",""," C10","","","Yes","1","0","Yes","0.0","S33","","","","","","No"
"120",""," C11","","","Yes","1","0","Yes","0.0","S35","","","","","","No"
"121",""," C11","","","Yes","1","0","Yes","0.0","S34","","","","","","No"
"122",""," C11","","","Yes","1","0","Yes","0.0","S35","","","","","","No"
"123",""," C9","","","Yes","1","0","Yes","0.0","S29","","","","","","No"
"124",""," C8","","","Yes","1","0","Yes","0.0","S24","","","","","","No"
"125",""," C11","","","Yes","1","0","Yes","0.0","S34","","","","","","No"
"126",""," C10","","","Yes","1","0","Yes","0.0","S32","","","","","","No"
