"Course","Total
Conflicts","Class","Meeting Time","Time
Conflicts","% of Total
Conflicts","Conflicting
Class","Conflicting
Meeting Time","Joined
Conflicts","% of Total
Conflicts"
" C14","4","P21 S32","M 2:10p - 5:10p","2,0000","0,5000"," C16 P23 S35","M 2:10p - 5:10p","1,5000","0,3750"
"","","","","",""," C39 P47 S68","M 2:10p - 5:10p","0,5000","0,1250"
"","","P21 S33","Th 2:10p - 5:10p","2,0000","0,5000"," C33 P40 S59","Th 2:10p - 5:10p","2,0000","0,5000"

" C15","4","P22 S34","W 9:35a - 12:35p","4,0000","1,0000"," C6 P10 S15","W 9:35a - 12:05p","2,0000","0,5000"
"","","","","",""," C9 P14 S19","W 9:35a - 12:35p","2,0000","0,5000"

" C16","1","P23 S35","M 2:10p - 5:10p","1,0000","1,0000"," C39 P47 S68","M 2:10p - 5:10p","1,0000","1,0000"

" C19","1","P26 S38","W 2:10p - 5:10p","1,0000","1,0000"," C36 P44 S63","W 2:10p - 5:10p","1,0000","1,0000"

" C35","1","P43 S62","T 2:10p - 5:10p","1,0000","1,0000"," C30 P37 S56","T 2:10p - 5:10p","1,0000","1,0000"

" C44","1","P53 S79","W 9:35a - 12:35p","1,0000","1,0000"," C43 P52 S78","W 9:35a - 12:35p","1,0000","1,0000"

" C5","3","P7 S9","M 2:10p - 5:10p","0,2500","0,0833"," C4 P5 S6","M 3:05p - 5:35p","0,2500","0,0833"
"","","P7 S10","T 2:10p - 5:10p","0,2500","0,0833"," C35 P43 S62","T 2:10p - 5:10p","0,2500","0,0833"
"","","P7 S11","W 2:10p - 5:10p","0,2500","0,0833"," C41 P49 S70","W 2:10p - 5:10p","0,2500","0,0833"
"","","P7 S12","Th 2:10p - 5:10p","0,2500","0,0833"," C4 P4 S5","Th 2:10p - 2:55p","0,2500","0,0833"
"","","P8 S13","F 11:25a - 12:10p","3,0000","1,0000"," C4 P6 S8","F 11:25a - 12:10p","3,0000","1,0000"

